flight_id,distance_km,duration_min,delayed
1,453.5,73.0,0
2,305.6,53.7,0
3,502.5,69.6,0
4,523.5,70.2,0
5,205.4,21.5,0
6,276.8,52.5,0
7,434.1,36.6,0
8,385.2,40.5,0
9,418.2,72.5,1
10,326.2,58.5,0
11,516.7,83.2,0
12,505.6,57.7,0
13,427.3,38.9,0
14,544.0,61.2,1
15,471.4,60.1,0
16,325.5,47.8,1
17,460.6,73.6,0
18,314.5,40.7,0
19,516.6,67.3,0
20,414.5,40.1,0
21,399.7,59.1,0
22,345.1,48.3,0
23,554.5,55.0,0
24,403.0,49.7,0
25,372.9,48.0,0
26,381.3,47.5,1
27,478.6,84.0,0
28,460.2,56.4,0
29,465.4,54.7,0
30,467.4,29.0,0
31,655.6,61.2,0
32,375.3,47.1,0
33,363.7,40.2,0
34,330.5,66.4,0
35,487.8,57.7,0
36,544.2,82.7,1
37,407.5,54.3,0
38,327.6,47.4,0
39,329.3,45.8,0
40,491.6,60.4,0
41,501.8,85.2,0
42,479.7,26.9,0
43,346.8,20.4,0
44,445.5,48.9,0
45,432.8,55.7,0
46,444.1,66.1,1
47,515.9,68.9,0
48,444.6,51.1,1
49,494.7,74.8,1
50,427.4,69.5,0
51,451.8,59.6,0
52,489.4,73.6,0
53,259.7,45.1,0
54,384.8,43.7,0
55,368.3,60.0,0
56,349.7,50.2,0
57,389.7,52.0,0
58,584.4,88.5,0
59,324.8,12.3,0
60,526.5,43.3,0
61,234.9,22.6,0
62,383.2,46.3,1
63,437.9,52.3,0
64,484.5,38.6,0
65,498.2,47.1,0
66,507.3,49.5,0
67,381.6,85.7,1
68,369.1,75.5,0
69,514.4,56.4,0
70,399.0,47.6,0
71,279.7,26.8,1
72,295.3,17.5,1
73,318.9,44.5,0
74,474.7,45.0,1
75,435.7,54.5,0
76,496.0,38.3,0
77,373.0,39.9,0
78,437.4,58.0,0
79,488.8,65.2,0
80,386.0,57.5,0
81,470.2,40.1,0
82,347.2,60.4,0
83,380.1,40.0,0
84,378.0,59.9,1
85,288.5,43.5,0
86,473.6,39.6,0
87,368.4,45.8,0
88,421.4,59.7,0
89,472.9,67.4,0
90,469.1,56.5,1
91,493.2,81.9,1
92,409.2,67.7,1
93,373.4,47.0,0
94,411.2,64.2,0
95,234.4,66.3,0
96,260.8,68.8,1
97,274.5,25.3,0
