flight_id,distance_km,duration_min,delay_min,delayed
1,453.5,73.0,1.0,0
2,305.6,53.7,-2.4,0
3,502.5,69.6,10.8,0
4,523.5,70.2,-3.1,0
5,205.4,21.5,-1.6,0
6,276.8,52.5,4.9,0
7,434.1,36.6,-7.3,0
8,385.2,40.5,8.4,0
9,418.2,72.5,50.0,1
10,326.2,58.5,6.5,0
11,516.7,83.2,4.8,0
12,505.6,57.7,1.2,0
13,427.3,38.9,-3.3,0
14,544.0,61.2,89.8,1
15,471.4,60.1,-2.9,0
16,325.5,47.8,113.4,1
17,460.6,73.6,6.0,0
18,314.5,40.7,9.4,0
19,516.6,67.3,3.9,0
20,414.5,40.1,6.6,0
21,399.7,59.1,0.5,0
22,345.1,48.3,-0.4,0
23,554.5,55.0,4.4,0
24,403.0,49.7,0.1,0
25,372.9,48.0,3.3,0
26,381.3,47.5,107.0,1
27,478.6,84.0,-2.4,0
28,460.2,56.4,5.2,0
29,465.4,54.7,6.4,0
30,467.4,29.0,-2.9,0
31,655.6,61.2,5.4,0
32,375.3,47.1,-0.7,0
33,363.7,40.2,2.1,0
34,330.5,66.4,9.1,0
35,487.8,57.7,6.0,0
36,544.2,82.7,115.3,1
37,407.5,54.3,11.5,0
38,327.6,47.4,-1.5,0
39,329.3,45.8,-2.9,0
40,491.6,60.4,-1.6,0
41,501.8,85.2,0.7,0
42,479.7,26.9,-9.8,0
43,346.8,20.4,1.0,0
44,445.5,48.9,-0.7,0
45,432.8,55.7,5.9,0
46,444.1,66.1,87.1,1
47,515.9,68.9,-1.0,0
48,444.6,51.1,80.6,1
49,494.7,74.8,93.0,1
50,427.4,69.5,-1.8,0
51,451.8,59.6,-0.5,0
52,489.4,73.6,-9.1,0
53,259.7,45.1,-3.5,0
54,384.8,43.7,-1.7,0
55,368.3,60.0,2.4,0
56,349.7,50.2,-2.7,0
57,389.7,52.0,-0.6,0
58,584.4,88.5,-4.1,0
59,324.8,12.3,2.9,0
60,526.5,43.3,4.1,0
61,234.9,22.6,4.0,0
62,383.2,46.3,98.6,1
63,437.9,52.3,-5.7,0
64,484.5,38.6,-1.1,0
65,498.2,47.1,-0.0,0
66,507.3,49.5,-0.0,0
67,381.6,85.7,38.9,1
68,369.1,75.5,9.1,0
69,514.4,56.4,6.1,0
70,399.0,47.6,-2.9,0
71,279.7,26.8,33.3,1
72,295.3,17.5,25.3,1
