flight_id,distance_km,duration_min
1001,430.1,51.6
1002,453.9,46.4
1003,408.1,55.4
1004,358.8,76.4
1005,393.6,42.3
1006,350.7,41.3
1007,434.8,58.1
1008,537.2,70.0
1009,390.6,49.9
1010,380.4,48.7
1011,469.2,66.9
1012,458.6,63.8
1013,438.4,43.5
1014,355.6,48.2
1015,427.7,55.5
1016,485.6,47.2
1017,322.5,49.6
1018,393.4,42.0
1019,277.9,54.5
1020,326.8,49.1
1021,282.7,44.2
1022,411.2,46.6
1023,328.6,45.5
1024,451.7,33.1
1025,442.5,42.7
1026,415.0,58.4
1027,228.7,13.2
1028,386.9,61.9
1029,426.1,34.0
1030,439.1,65.1
1031,307.6,35.1
1032,391.8,61.5
1033,351.7,50.4
1034,365.3,31.5
1035,1671.0,172.0
1036,1334.6,146.7
1037,1474.1,140.1
1038,1639.2,151.1
1039,1375.0,130.8
1040,1459.9,128.0
1041,1499.9,156.2
1042,1491.5,135.8
1043,1259.5,122.7
1044,1493.7,133.0
1045,1724.6,153.9
1046,1201.5,103.2
1047,1634.7,169.1
1048,1501.5,141.3
1049,1364.5,143.5
1050,1840.1,171.0
1051,1617.2,144.3
1052,1264.1,119.7
1053,1493.4,135.7
1054,1583.8,150.0
1055,1446.0,134.1
1056,1602.9,147.8
1057,1468.0,123.8
1058,1600.1,141.5
1059,1738.9,182.4
1060,1358.4,123.3
1061,1516.6,131.7
1062,1396.6,138.6
1063,1502.9,160.1
1064,1266.3,106.4
1065,1375.7,130.3
1066,1444.7,130.9
1067,1641.8,133.5
1068,1686.1,167.1
1069,2319.1,209.9
1070,2451.3,221.9
1071,2811.7,241.5
1072,2151.9,201.9
1073,2534.2,221.3
1074,2625.7,233.6
1075,2964.3,249.8
1076,2822.4,236.8
1077,2568.2,246.6
1078,2557.9,223.7
1079,2587.5,235.7
1080,3030.9,268.1
1081,2543.0,223.2
1082,2574.1,225.0
1083,2738.1,252.1
1084,2619.8,231.2
1085,2600.7,231.4
1086,2371.5,214.7
1087,2647.1,251.2
1088,2539.1,236.4
1089,2941.5,265.8
1090,2813.3,243.9
1091,2644.0,220.2
1092,2817.1,262.4
1093,2565.0,241.9
1094,2913.0,257.2
1095,2648.7,243.7
1096,2795.8,258.6
1097,2327.3,220.8
1098,2736.7,255.5
1099,2227.9,197.2
1100,2141.2,213.8
